CT Hotel ID,AVERAGE_PRICE_DIFFERENCE
40002,550.5
40005,700
40009,-4133.83333333
40013,320.5
40021,-100
40032,935
40035,-850
40040,350
40046,-3200
40056,-711.666666667
40068,-339
40078,2000
40095,600
40103,1500
40127,1500
40136,723.5
40141,370
40143,1150
40168,-14500
40174,-1900
40176,-3000
40189,-800
40193,466
40200,-500
40203,567.5
40205,-2099
40219,1136.66666667
40223,4489
40224,500
40231,-366.666666667
40232,-500
40247,-300
40250,406.333333333
40257,-600
40265,2222
40270,-1333.33333333
40275,-2666.66666667
40280,-600
40281,634
40289,-400
40292,450
40299,-5000
40316,0.25
40320,228.528571429
40338,-383.666666667
40361,582
40363,1200
40412,11675
40420,2500
40425,600
40432,-2375
40450,-20000
40458,-2206
40461,1345.23809524
40462,250
40468,1000
40478,-4000
40479,-500
40487,4487.75
40488,-12500
40494,1926.56666667
40507,1000
40509,646.666666667
40511,150
40512,-400
40515,2372.5
40520,600
40536,-2000
40549,-1800
40551,-1700
40561,-500
40566,550
40573,1600
40579,125
40585,2955.33333333
40586,739.333333333
40607,-249.5
40618,-1167.0
40633,-1000
40638,-7859.5
40659,600
40663,751.333333333
40682,450
40700,1999.75
40738,333.333333333
40748,-850
40751,-2200
40755,1000
40760,2617.5
40777,-467
40781,350
40809,800
40812,499
40816,-700
40872,-49.5
40886,-506
40888,-1000
40895,750
40948,1550
40949,500
40951,2250
40958,1834.375
40963,266.666666667
40965,660
40977,501
40979,-625
40984,5713.66666667
41024,1000
41030,1000
41033,500
41042,2000
41046,350
41065,-1743.5
41066,-2498
41093,6000
41098,616.666666667
41103,1850
41120,-7200
41123,1033
41136,6388.125
41138,200
41139,2583.33333333
41164,-554.333333333
41166,-2900
41173,-300
41174,-633.333333333
41177,895
41185,732.333333333
41187,551
41196,-500
41200,-2000
41208,-1850.5
41209,-1000
41251,-925
41269,-1750
41279,-1000
41299,-4567
41316,478.333333333
41317,-998.166666667
41320,700
41326,1500
41332,-1500
41344,-1591.66666667
41347,-650
41360,1850
41367,300
41376,1000
41382,-2591
41386,-800
41390,-1466.66666667
41419,300
41435,1200
41451,726.446428571
41479,200
41489,-332
41491,-87.5
41503,4000
41528,1000
41530,-1
41540,749.5
41556,3500
41557,-1800
41560,333.333333333
41572,850
41579,-8280
41588,1041.66666667
41592,2637.5
41604,-398.05
41612,-600
41632,-1600
41634,800
41643,-2000
41645,1430.5
41654,-2000
41682,575
41683,-118.166666667
41694,933.333333333
41695,2100
41710,1166.66666667
41716,-200
41724,-500
41736,-633.333333333
41765,200
41775,704.666666667
41790,718.333333333
41804,-600
41818,231
41826,3875
41836,-450
41868,5000
41872,232.75
41903,781.5
41911,3500
41916,-667
41920,750
41923,499
41932,1100
41935,2000
41938,-300
41963,-711.5
41974,3450.75
41977,300
41982,-192.5
41986,583.333333333
41991,2100
41992,-600
41999,-608
42006,-325
42027,7650.5
42062,-3000
42064,-5300
42088,-433
42092,-999
42095,-1625
42096,-487.5
42104,150
42105,-650
42112,420
42126,-856
42129,-200
42134,-2500
42137,283.333333333
42140,850
42142,-630
42150,330
42152,-200
42157,-400
42183,-1049
42184,-250
42185,2000
42192,1500
42199,1016.66666667
42209,220
42212,850
42219,900
42224,560
42229,433.333333333
42234,-250
42248,-2174.33333333
42249,-550
42262,1000
42269,500
42274,-350
42285,1433.33333333
42286,200
42291,-2500
42310,-450
42321,-1000.33333333
42324,470
42365,-600
42375,-112.5
42378,-300
42385,7500
42396,-2203
42407,-650
42409,-23500
42412,-373
42414,-540
42419,5805.16666667
42422,1101
42430,100
42451,-900
42453,100.333333333
42462,625
42464,200
42471,-300
42490,10
42498,1210
42505,-300
42506,-6666.66666667
42507,-1386.66666667
42518,400
42528,-337.333333333
42548,700
42552,950
42556,-3246.66666667
42559,3500
42560,-701
42564,-500
42616,-750
42654,-548
42671,-400
42672,600
42702,500
42705,-575
42707,-1251
42710,200
42732,-200
42741,820.833333333
42749,-2860.6
42755,353.5
42763,5000
42767,2203.5
42777,-510.333333333
42786,-19166.6666667
42809,1500
42814,700
42817,-1159
42818,575
42830,-103.333333333
42846,2812
42870,1000
42879,-596
42881,9000
42896,-1537.66666667
42898,4204.66666667
42900,6500
42911,-4999
42914,-780
42916,1059.33333333
42927,300
42935,-506
42961,229
43050,-800.5
44605,-600
44624,1500
44629,-1640
44644,-495
44664,4527.66666667
44685,1000
44697,1827.5
44699,-1000
44785,-988.222222222
44797,-5416.66666667
45098,-1858
45102,-1500
45176,1598.5
45196,750
45206,-400
45226,3875
45232,-10000
45260,-2250
46304,-1200
46495,-1366.33333333
46871,272
46872,-500
46897,-375
46899,350
46905,536.5
46928,-566.666666667
46931,700
46984,3500
47050,590
47165,-220.833333333
47425,-600
47427,-1637
47605,-1000
47754,1000
47801,300
47814,1000
47815,2501
47818,-1000
47826,26666.6666667
47842,-1500
47861,-378.771428571
47884,-1013.66666667
47894,12666.6666667
47902,1561
48421,-559
48459,535
48484,-250
50051,-1500
50692,-600
50717,-400
50775,1300
50778,1966.66666667
50786,-574.3
50811,833.333333333
50823,900
50829,-200
50842,2065.625
50862,1550
51285,6201
51413,-1372.5
51425,1500
51586,273.666666667
51605,3800
51725,-400
51755,650
51867,7000
51879,-400
52364,575
52425,-3487.33333333
52435,350
52453,-500
52740,-250
52786,-600
52824,795
79141,1843.33333333
79143,625
79246,330
79284,-1000
79303,-1475
79306,-1000
79325,2500
79327,-500
79370,-1250
79415,300
79645,-594
79660,1050
79736,-518.5
79810,-614
80257,-700
80837,2465.66666667
81703,1604.16666667
81705,-2923.16666667
81724,-1000
81727,550
122897,1025
123007,2750
123152,1760.5
123173,-2333.33333333
123322,-1608.66666667
159019,-600
159152,-1000
159159,2800
159184,900
159209,-1059
159253,1534
159299,-408
159603,-1050
159614,5075.5
159628,3160
159690,1699.66666667
159738,-400
159751,1562.5
159818,-47500
159850,333.666666667
159874,300
159882,550
159893,-1500
159900,1020
160013,-787.5
160065,-300
160093,900
160099,2188.5
160100,2666.66666667
160143,400
160232,401
160238,1500
160318,2950.33333333
160444,-599
160461,-5500
160484,-333.333333333
160665,1374
160667,-747.5
160728,700
160752,2149
161825,3000
161860,-2000
161898,-3125
165450,605.5
165501,-586
165525,-634.0
165623,-550
165627,-310
165636,4333.33333333
165638,-200
165660,133.333333333
165741,1433.33333333
165757,-750
165802,-184
165807,1100
165858,1000
165909,129
165950,200
166001,208.333333333
166017,-349.5
166059,-1005
166060,1985
166164,564
166201,2000
166215,5500
166216,625
166276,1000
166291,-134.5
166347,-13500
168701,1700
170355,-1022
171004,700
171208,-3208.33333333
171240,783.333333333
171301,302.5
171317,1500
171341,-1350
171354,200
171356,-300
171416,-300
171420,-350
171525,500
171642,-100
171721,-8332.83333333
172427,11499.5
172434,3126
172445,10000
172530,-300
172541,400
183162,1600
201192,1000
204780,658
206560,201
206585,-2600
206693,-501
206735,6000
206788,3000
206940,-300
207000,-1500
207080,-6216.5
207280,537
207340,550
210901,5000
210940,749.5
210941,-1213
211063,-1200
211081,350
211120,900
211131,1260
211154,-17500
211191,99
211214,416.666666667
211231,2500
211234,-300
211288,3000
211306,-1000
211310,-556.5
211318,583.333333333
211357,440
211362,400
211430,-600
211445,-449
211446,150
211451,-1699
211457,-1
211471,300
211474,999
211488,1902.66666667
211557,-1000
211980,-450
212100,-17501
231145,-100
232056,304
238377,511
247046,-5000
254284,-500
263831,-409
264369,800
268900,-4533.33333333
